week_number,search_sessions,search_purchases,ad_clicks,ad_purchases,social_views,social_clicks,social_purchases,audience_avg_age,audience_male_percent,ad_budget,category,total_purchases,performance
46,1058,69,714,47,4905,480,33,18.0,76.6,8100.0,Base,149,Hit
47,1064,77,1021,77,3390,277,17,18.4,75.7,4709.0,Base,171,Hit
48,1025,70,781,49,6192,463,28,19.1,74.6,9076.0,Base,147,Hit
49,788,54,780,43,2859,228,14,20.0,73.5,4221.0,Base,111,Flop
50,1021,58,814,52,5717,453,29,21.2,72.4,8729.0,Base,139,Flop
51,1357,77,1275,101,8572,628,35,22.6,71.2,4072.0,Base,213,Hit
52,1342,83,1326,86,9066,901,63,24.0,70.0,8602.0,Base,232,Hit
1,652,44,929,46,4608,383,22,23.4,73.8,7757.0,Game,112,Flop
2,1023,72,798,51,6555,577,33,24.8,72.6,16755.0,Game,156,Hit
3,813,55,743,39,5652,464,24,26.0,71.5,15068.0,Game,118,Flop
4,972,47,1159,66,7519,742,34,26.9,70.4,21237.0,Game,147,Hit
5,1211,76,958,62,8379,831,48,27.6,69.3,17703.0,Game,186,Hit
6,1242,79,990,57,10811,1053,50,28.0,68.4,8836.0,Game,186,Hit
7,1276,59,1499,81,11538,836,42,28.0,67.5,11099.0,Game,182,Hit
8,1112,78,1280,66,11702,987,56,27.6,66.8,6903.0,Game,200,Hit
9,1106,64,1039,53,8091,649,34,26.9,66.1,9990.0,Game,151,Hit
10,1125,59,1550,80,11212,1011,47,26.0,65.6,7196.0,Game,186,Hit
11,926,63,1127,68,7020,625,38,24.8,65.3,6214.0,Game,169,Hit
12,998,51,1197,77,7006,671,35,23.4,65.1,27480.0,Game,163,Hit
13,691,46,633,30,8710,857,49,22.0,65.0,12458.0,Game,125,Flop
14,890,56,972,57,9646,841,38,20.6,65.1,13830.0,Game,151,Hit
15,924,52,1313,89,9970,858,48,19.2,65.3,22175.0,Game,189,Hit
16,805,38,1148,74,6902,678,34,18.0,65.6,15375.0,Game,146,Hit
17,958,43,1028,55,11399,1103,58,17.1,66.1,15263.0,Game,156,Hit
18,908,54,1130,54,11027,908,43,16.4,66.8,10678.0,Game,151,Hit
19,819,48,807,49,4894,350,21,16.0,67.5,13075.0,Game,118,Flop
20,942,48,1245,84,9824,917,44,16.0,68.4,13474.0,Game,176,Hit
21,939,60,997,59,8622,843,52,16.4,69.3,3000.0,Game,171,Hit
22,952,68,1359,87,10640,865,53,17.1,70.4,6575.0,Game,208,Hit
23,1155,68,1506,88,10154,785,38,18.0,71.5,3492.0,Game,194,Hit
24,1042,52,1142,62,7490,544,30,19.2,72.6,12211.0,Game,144,Hit
25,827,50,935,66,6662,545,30,20.6,73.8,13750.0,Game,146,Hit
26,962,63,964,67,7224,545,26,22.0,75.0,13004.0,Game,156,Hit
27,922,58,750,38,5564,412,22,23.4,76.2,18612.0,Game,118,Flop
28,806,41,869,62,7651,595,29,24.8,77.4,13513.0,Game,132,Flop
29,834,45,921,63,7584,657,33,26.0,78.5,19815.0,Game,141,Hit
30,696,37,671,43,7049,525,28,26.9,79.6,14920.0,Game,108,Flop
31,431,30,554,33,3315,328,16,27.6,80.7,16278.0,Game,79,Flop
32,550,28,538,31,4991,491,30,28.0,81.6,12298.0,Game,89,Flop
33,522,33,582,29,4932,492,27,28.0,82.5,9968.0,Game,89,Flop
34,497,24,542,26,5682,518,29,27.6,83.2,10323.0,Game,79,Flop
35,516,25,660,38,6636,493,29,26.9,83.9,3413.0,Game,92,Flop
36,542,26,481,26,6483,456,26,26.0,84.4,6284.0,Game,78,Flop
37,310,22,331,22,3051,276,17,24.8,84.7,8398.0,Game,61,Flop
38,581,30,651,45,5857,530,25,23.4,84.9,8466.0,Game,100,Flop
39,575,40,627,34,6036,589,27,22.0,85.0,12314.0,Game,101,Flop
40,560,37,628,42,5811,478,26,20.6,84.9,13367.0,Game,105,Flop
41,694,46,850,43,4713,390,19,19.2,84.7,20970.0,Game,108,Flop
42,649,33,655,43,4483,386,22,18.0,84.4,19106.0,Game,98,Flop
43,443,21,587,35,2459,203,11,17.1,83.9,25573.0,Game,67,Flop
44,799,37,1102,62,6050,441,20,16.4,83.2,12930.0,Game,119,Flop
45,745,39,633,43,4459,363,17,16.0,82.5,39100.0,Game,99,Flop
46,778,42,711,38,6249,475,30,16.0,81.6,17098.0,Game,110,Flop
47,825,54,904,52,4532,416,20,16.4,80.7,9587.0,Game,126,Flop
48,798,41,790,52,5672,399,18,17.1,79.6,4076.0,Game,111,Flop
49,550,32,598,28,4060,396,19,18.0,78.5,4017.0,Game,79,Flop
50,773,51,897,50,8087,784,36,19.2,77.4,7779.0,Game,137,Flop
51,1097,68,1015,48,8958,830,41,20.6,76.2,13604.0,Game,157,Hit
52,1122,57,1410,69,9674,953,50,22.0,75.0,14251.0,Game,176,Hit
1,460,37,395,41,3328,234,18,28.4,63.8,24858.0,Elite,96,Flop
2,715,77,442,41,4792,352,32,29.8,62.6,23989.0,Elite,150,Hit
3,623,63,391,32,3340,319,29,31.0,61.5,21647.0,Elite,124,Flop
4,901,67,657,60,5450,455,41,31.9,60.4,26366.0,Elite,168,Hit
5,884,92,682,63,5954,489,39,32.6,59.3,27226.0,Elite,194,Hit
6,902,96,504,37,4786,397,28,33.0,58.4,16696.0,Elite,161,Hit
7,917,69,656,71,9165,824,73,33.0,57.5,16982.0,Elite,213,Hit
8,843,64,689,65,4529,342,24,32.6,56.8,15808.0,Elite,153,Hit
9,875,81,770,56,8975,854,75,31.9,56.1,11456.0,Elite,212,Hit
10,766,56,371,36,8319,811,64,31.0,55.6,17119.0,Elite,156,Hit
11,661,60,534,51,6978,656,53,29.8,55.3,14088.0,Elite,164,Hit
12,714,50,401,29,9037,769,74,28.4,55.1,21447.0,Elite,153,Hit
13,526,56,276,24,5548,431,38,27.0,55.0,20161.0,Elite,118,Flop
14,564,41,426,41,7059,635,57,25.6,55.1,61270.0,Elite,139,Flop
15,588,61,346,36,8517,837,75,24.2,55.3,28798.0,Elite,172,Hit
16,602,56,487,42,5350,532,41,23.0,55.6,25760.0,Elite,139,Flop
17,610,55,450,46,6932,496,40,22.1,56.1,27905.0,Elite,141,Hit
18,700,50,484,52,6435,524,45,21.4,56.8,23948.0,Elite,147,Hit
19,552,51,271,26,4673,440,42,21.0,57.5,16662.0,Elite,119,Flop
20,770,77,458,39,6250,540,47,21.0,58.4,18871.0,Elite,163,Hit
21,809,65,400,44,4387,347,33,21.4,59.3,18839.0,Elite,142,Hit
22,868,90,728,74,5100,419,33,22.1,60.4,16793.0,Elite,197,Hit
23,859,75,457,33,4394,311,24,23.0,61.5,14515.0,Elite,132,Flop
24,861,81,431,32,5260,502,45,24.2,62.6,12232.0,Elite,158,Hit
25,606,46,379,40,4692,333,25,25.6,63.8,19616.0,Elite,111,Flop
26,804,63,610,63,5130,459,38,27.0,65.0,17251.0,Elite,164,Hit
27,662,51,554,40,3720,327,29,28.4,66.2,18568.0,Elite,120,Flop
28,718,75,415,45,5638,448,40,29.8,67.4,25900.0,Elite,160,Hit
29,562,42,358,36,5960,594,45,31.0,68.5,21265.0,Elite,123,Flop
30,597,49,435,47,5785,549,50,31.9,69.6,25408.0,Elite,146,Hit
31,316,33,223,21,2272,200,16,32.6,70.7,23324.0,Elite,70,Flop
32,419,35,208,18,2921,217,17,33.0,71.6,17212.0,Elite,70,Flop
33,430,46,288,30,3973,382,35,33.0,72.5,22343.0,Elite,111,Flop
34,358,26,308,32,5350,467,37,32.6,73.2,14906.0,Elite,95,Flop
35,360,30,207,19,3963,372,29,31.9,73.9,18925.0,Elite,78,Flop
36,362,30,272,28,5167,366,28,31.0,74.4,13611.0,Elite,86,Flop
37,249,19,210,15,2469,192,14,29.8,74.7,35400.0,Elite,48,Flop
38,404,35,201,18,2839,263,23,28.4,74.9,17583.0,Elite,76,Flop
39,389,35,208,15,3932,373,34,27.0,75.0,18926.0,Elite,84,Flop
40,433,31,225,23,3133,269,24,25.6,74.9,21254.0,Elite,78,Flop
41,480,54,309,31,4402,392,28,24.2,74.7,21482.0,Elite,113,Flop
42,526,57,457,32,4626,392,33,23.0,74.4,21325.0,Elite,122,Flop
43,396,44,248,22,2528,221,16,22.1,73.9,26515.0,Elite,82,Flop
44,562,43,433,41,3983,291,23,21.4,73.2,20897.0,Elite,107,Flop
45,624,45,475,39,3913,373,26,21.0,72.5,17067.0,Elite,110,Flop
46,588,45,288,21,5486,450,40,21.0,71.6,17280.0,Elite,106,Flop
47,650,55,558,48,4670,435,40,21.4,70.7,14282.0,Elite,143,Hit
48,692,64,480,44,5239,516,38,22.1,69.6,8747.0,Elite,146,Hit
49,460,50,349,28,3087,241,21,23.0,68.5,14164.0,Elite,99,Flop
50,593,57,295,32,3659,347,28,24.2,67.4,16387.0,Elite,117,Flop
51,925,84,783,69,9515,853,76,25.6,66.2,18560.0,Elite,229,Hit
52,763,56,376,37,8422,791,63,27.0,65.0,21178.0,Elite,156,Hit
